1011059 1 2001 1 204 2 3 1 3 35 2840 43.69 -0.004406395 -0.125913047 -0.174753791 -3.03 -35.24 1.528
1011060 2 2001 1 204 2 3 1 3 30.6 2020 43.32 -0.001564477 -0.116006124 -0.177706533 -4.31 -545.3 3.165
1011061 1 2001 1 205 2 3 1 1 37.6 2856 44.78 0.115731213 0.082389564 0.021491455 0.0545 112 2.754
1011062 1 2001 1 205 2 3 1 1 41.2 3236 41.29 0.097054517 0.081116637 0.008917322 3.593 490.2 -0.7402
1011065 1 2001 1 207 2 3 1 3 44.3 2724 43.34 -0.004916178 -0.116853682 -0.174383356 6.259 -146.3 1.168
1011066 2 2001 1 207 2 4 1 3 38.4 2284 40.18 0.001237236 -0.121075835 -0.17471014 3.396 -273.4 -0.1895
1011068 1 2001 1 209 1 12 1 3 39 3044 43.12 0.117689753 0.06532013 -0.00181686 -0.8816 206.2 2.096
1011069 1 2001 1 210 1 3 1 3 42.6 2596 45.54 0.098385413 0.074870163 0.011775196 1.492 -235.3 4.33
1011070 1 2001 6 211 2 3 1 3 37.5 2988 43.62 0.005606147 -0.020329217 0.022004859 0.9258 188.3 1.556
1011071 2 2001 6 211 2 12 1 3 32.1 2636 40.72 0.017375837 -0.021569939 0.020198578 -0.0984 140.3 0.9214
1011072 1 2001 6 212 2 12 1 3 40.7 3248 41.4 -0.180820654 0.068348621 -0.008089502 4.884 494.5 -0.2631
1011073 2 2001 6 212 2 3 1 3 31.3 2824 41.32 -0.174029051 0.071889478 0.001781112 -2.571 378.2 1.452
1011075 2 2001 6 213 2 3 1 3 31.2 2464 38.36 0.013920461 -0.115169478 0.074984413 -1.956 -76.88 -1.368
1011076 2 2001 6 214 2 3 1 3 38 2424 NA 0.019274537 -0.018985196 0.021215697 4.579 -70.29 NA
1011078 2 2001 6 215 2 4 1 1 37.6 2464 40.61 0.150938565 0.143480868 -0.004808033 3.983 64.4 -0.2599
1011079 2 2001 6 215 2 3 1 1 38.9 2424 40.81 0.156966263 0.149233785 -0.013009685 5.373 16.29 0.118
1011080 2 2001 6 216 1 3 1 1 38.1 2464 38.41 0.018469898 -0.087487078 0.042997733 1.306 -147.5 -0.6714
1011081 1 2001 6 217 1 12 1 1 39.8 2424 42.49 -0.189819475 0.102012566 0.011119974 0.4666 -391.7 1.667
1011082 1 2001 6 218 2 12 1 3 39.7 2464 41.75 0.097390393 0.04214099 0.026469204 4.421 -302.1 -0.3146
1011083 2 2001 6 218 2 3 1 3 34.9 2424 34.4 0.097296158 0.044609926 0.028100505 1.534 -35.76 -5.883
1011084 1 2001 6 219 2 3 1 3 32.3 2464 44.77 0.017504662 -0.088267329 0.054622106 -4.079 -369.3 2.89
1011085 2 2001 6 219 2 12 1 3 30.2 2424 43.49 0.001392172 -0.105219556 0.047839289 -1.839 -114 3.937
1011086 1 2001 7 220 2 12 1 3 30.8 2464 41.38 0.013045189 -0.094577034 -0.003612727 -4.32 -378.6 -0.5055
1011087 2 2001 7 220 2 3 1 3 33.6 2424 39.38 0.011227638 -0.114249432 -0.000857269 0.4213 -124.1 -0.6849
1011089 2 2001 7 221 2 3 1 3 31 2044 38.36 -0.186010658 0.067494006 0.031533432 -2.596 -401.4 -1.458
1011090 2 2001 7 221 2 3 1 3 31.1 2304 36.88 -0.190795682 0.062913504 0.024457706 -2.518 -144.5 -2.946
1011091 2 2001 7 222 2 3 1 3 30.1 2376 41.87 0.027135446 -0.097517016 0.08161094 -2.838 -155 2.032
1011092 2 2001 7 222 2 3 1 3 27.9 2104 46.91 0.009291048 -0.108341911 0.079048432 -5.058 -433 7.114
1011094 1 2001 7 223 2 3 1 1 33.3 2520 40.46 -0.195169246 0.109385054 0.001228752 -3.585 -210.6 -1.539
1011095 1 2001 7 223 2 3 1 1 27.3 2652 42.13 -0.198501417 0.093743969 -0.000545415 -9.576 -87.21 0.1537
1011096 1 2001 7 224 2 3 1 3 38.5 3216 44.82 0.014332745 -0.110640341 0.101887888 2.481 375.1 3.059
1011097 2 2001 7 224 2 3 1 3 35.3 2496 42.87 0.012905032 -0.104855251 0.095392819 2.39 -37.48 3.118
1011098 1 2001 7 225 2 3 1 3 43 3364 41.51 0.001271779 -0.118902954 0.095047471 6.952 518.1 -0.2364
1011099 2 2001 7 225 2 3 1 3 31 2472 38.28 0.006139235 -0.110212615 0.087889841 -1.935 -65.08 -1.476
1011100 1 2001 7 226 1 4 1 1 38.1 2536 41.11 -0.187431386 0.094126852 0.003801749 -2.379 -274.7 -0.2958
1011101 1 2001 7 227 2 3 1 3 37.9 2884 41.42 0.098250198 0.06845669 0.01006054 1.518 130.2 -1.078
1011102 2 2001 7 227 2 3 1 3 30.5 2452 41.85 0.110242089 0.067730232 0.0100431 -2.727 2.645 1.365
1011103 2 2001 7 228 1 4 1 3 38.8 3156 39.56 -0.17043143 0.077560462 0.031044426 1.582 643.9 0.2736
1011107 1 2001 8 231 2 12 1 1 36.8 2964 42.93 0.038604078 0.007434704 0.006795067 1.823 177.2 0.8026
1011108 1 2001 8 231 2 12 1 1 32.2 2520 40.75 0.036073706 0.0017711 0.010726573 -2.763 -269.4 -1.351
1011109 1 2001 8 232 2 3 1 1 37.8 2656 38.18 -0.183519967 0.104062007 0.004294262 1.148 -77.46 -3.906
1011110 2 2001 8 232 2 3 1 1 36.7 2512 37.7 -0.194157966 0.103733631 0.003003681 3.166 83.2 -2.332
1011111 1 2001 8 233 2 3 1 1 39 3232 42.46 0.012279498 -0.073993795 0.044151908 2.967 405 0.372
1011112 2 2001 8 233 2 12 1 1 38.7 2908 35.87 0.018645431 -0.056881415 0.038878942 7.002 394.7 -3.979
1011113 1 2001 8 234 1 12 1 1 31 2916 45.52 0.053615973 0.069455393 0.003688822 -7.559 79.93 4.068
1011114 1 2001 8 235 1 3 1 1 40.5 2584 46 0.135697258 0.139917975 -0.012233221 0.7025 -216.2 3.972
1011115 2 2001 8 236 1 4 1 3 29.7 2288 38.82 0.108313468 0.04411309 0.011928499 -6.926 -246.1 -1.124
1011119 1 2001 8 238 2 3 1 1 36.2 2528 45.34 -0.188923905 0.101314489 -0.001730459 -0.4741 -207.5 3.248
1011120 2 2001 8 239 2 3 1 1 35.1 2652 38.81 0.030675024 0.003975431 0.010724719 2.038 168.6 -1.504
1011122 1 2001 8 240 2 3 1 3 42.2 3476 45.86 0.030094986 -0.117512969 0.100086493 6.408 630.9 3.99
1011124 2 2001 8 241 1 4 1 3 41.2 2848 42.29 0.015314985 -0.116215701 0.091873507 4.867 235.8 3.034
1011126 1 2001 9 243 2 3 1 3 31.5 2148 41.21 0.145245007 0.111757801 0.003773203 -4.484 -583.7 -1.628
1011129 2 2001 9 244 2 3 1 3 31.5 2240 41.97 0.148550244 0.107167764 0.005626464 -1.331 -189.2 1.175
1011134 1 2001 9 247 1 3 1 1 34.4 2832 42.65 0.015794235 -0.063977488 -0.205426183 -5.678 -97 0.409
1011136 1 2001 9 249 2 3 1 1 30.3 2960 45.51 -0.006941487 -0.078823731 0.053811208 -5.526 131.3 3.419
1011138 1 2001 10 250 2 12 1 1 40.4 2960 42.18 0.09952757 0.093194737 0.006958243 5.808 218.8 -0.3535
1011140 1 2001 10 251 2 4 1 3 40.4 2960 42.52 0.14637568 0.138929729 0.003491433 4.472 253.1 -0.6675
1011142 1 2001 10 252 2 3 1 3 42.3 3056 41 0.029075068 -0.114105488 0.091670213 6.879 211.5 -1.064
1011143 1 2001 10 252 2 3 1 3 28.5 2444 41.93 0.021321042 -0.092720033 0.075105999 -7.006 -390.5 -0.2059
1011144 1 2001 10 253 2 4 1 1 35.9 2700 42.61 0.14099211 0.137970369 -0.012494655 -0.0811 -8.998 -0.6202
1011145 1 2001 10 253 2 4 1 1 39.3 3092 42.29 -0.180640643 0.099474286 0.002382059 2.941 365.8 -0.1903
1011146 1 2001 10 254 1 3 1 3 41.2 3132 38.66 -0.169287775 0.065125918 0.030115909 1.574 297.2 -2.668
1011147 1 2001 10 255 2 12 1 3 33.5 3088 42.65 0.037928786 -0.030598615 0.014401593 -1.008 281 0.4415
1011148 2 2001 10 255 2 12 1 3 34.5 2608 38.4 0.04600926 -0.037717177 0.026603994 3.185 103.2 -1.736
1011149 1 2001 10 256 2 3 1 3 30.9 2580 43.46 0.007399844 -0.122403549 -0.180469282 -5.327 -295.8 0.5185
1011150 2 2001 10 256 2 3 1 3 30.9 2440 43.12 0.001812019 -0.117062081 -0.18724486 -2.225 -128.7 2.195
1011151 1 2001 10 257 2 3 1 1 37.6 3136 42.78 0.013279013 -0.055039161 0.033357461 1.916 317.8 0.4635
